Item,ID,Quantity,Cost,Total Item Cost,Vendor,,,
"Adafruit 2.13"" Monochrome eInk / ePaper Display with SRAM - 250x122 Monochrome with SSD1680",4197,2,$22.50,$45.00,Adafruit,,,
Tactile Button switch (6mm) x 20 pack,367,1,$2.50,$2.50,Adafruit,,,
Adafruit ESP32-S2 Feather - 4 MB Flash + 2 MB PSRAM - STEMMA QT / Qwiic,5000,2,$17.50,$35.00,Adafruit,,Total,$128.94
Lithium Ion Polymer Battery - 3.7v 100mAh,1570,2,$11.90,$23.80,Adafruit,,,
6 Pieces Electret Microphone Amplifier Module MAX4466 Adjustable Gain,B08N4FNFTR,1,$9.99,$9.99,Amazon,,,
Adafruit STEMMA Speaker - Plug and Play Audio Amplifier - JST PH 2mm,3885,2,$5.95,$11.90,Adafruit,,,
JST PH 2mm 3-pin Plug-Plug Cable - 100mm long,4336,1,$0.75,$0.75,Adafruit,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
,,,,$0.00,,,,
